site,basin,hydrogeomorphzone,lat,long,Total Accretion (cm),Mean Accretion (cm/yr),Mean OM%,Mean OM Density (mg/cm3),Mean BD (g/cm3),C_Seq (g/m2/yr),OC Density (mg/cm3),IM(%),IM Density (mg/cc),Necromass (Mg/ha),Root Necromass (Mg/ha),Root Necromass Projected Up to 50 cm (Mg/ha)
Active Brackish,AT,intertidal,29.3018532,-91.10426,71.32153768152747,0.7132153768152747,30.594275357013224,52.14816377411675,0.18902595318609428,187.89087436265646,21.634968332308592,69.405726543169,136.87778941197752,361.14744659307786,323.3909052431279,215.67452221329825
Active Saline ,AT,intertidal,29.2437878,-91.10454,43.08919438071293,0.4308919438071293,25.971486550537474,75.46720067473353,0.2986469071030968,140.24534354355217,30.839832894310614,74.02851604427816,223.17970642836326,313.43295606242793,226.77296371993103,271.6137582595431
Inactive Brackish,TE,intertidal,29.3454,-90.8855057,121.61237936531307,1.2161237936531308,47.584828044386626,48.848939337293224,0.10394867789768186,272.0288118176413,21.4550990815689,52.41517210213361,55.099738560388644,590.0930614238018,514.1943114516419,199.96224795463013
Inactive Saline ,TE,intertidal,29.1712189, -90.82439,345.68741307372386,3.456874130737239,30.91419296059938,52.11897969722638,0.17065074680335587,773.7937873695223,21.770533387033343,69.08580715773152,118.53176710612952,1785.031675217583,1675.0139727721937,236.0845710827457
