Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cc),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
10,0.019844929509543727,0.0670377492804615,0.12366661418198716,0.19070436346244865,30.41015317752521,34.56966350306888,0.008907883182829283,0.018043362780979854,0.2191008608275085,0.41003631532731316,4.159510341695682,34.56966351922089,0.15125270151350212,34.82561023759799,22.323493643700324,928.5480267374925,52.67467630292972,65.174389762402,98.57802521057238,21.054929297199237,0.0009114604016891605,0.0,0.009856616139347194,0.009856616139347194,0.018933469107854567,0.18084774732310147,128.8374984109985,0.19429946844165202,0.1543047249281146,3.6048577486639486,0.20604839966196642,4.671210130047259,3.7096848487509746,86.6654354126303,4.953669608571474
11,0.017915314425306507,0.07081787850854943,0.13058209312687913,0.20139997163542855,34.56966350306888,38.86730940123109,0.007752432082270908,0.015702938804243838,0.22675762085971513,0.40999009728329083,4.297645904570427,38.86730940763931,0.1481619780414766,35.61184663857532,22.418475000881386,963.4666727425247,52.76321639681029,64.38815336142468,95.39876164466632,21.931528606073506,0.0005742200530641711,0.0,0.00981817533640374,0.00981817533640374,0.017341094372242336,0.1915817962990248,149.7297874781252,0.18752066743897353,0.13428969323313014,3.7698103693841056,0.2060251745142165,4.3633345231990965,3.1247267972988837,87.718031059167,4.793907620334995
12,0.015997529729216253,0.0739716983338672,0.13651102787342428,0.21048272620729147,38.86730940123109,43.2753634067798,0.006663952656642391,0.013498169303661996,0.2328776504868844,0.4099465581062657,4.408054008033212,43.2753634092643,0.14582947654944134,36.227268259941184,22.491086232461765,991.4192281202367,52.830035671634135,63.772731740058816,92.99944087780722,22.64802559365077,0.0003617586334304278,0.0,0.009779884452591765,0.009779884452591765,0.015635771095785827,0.2007028417546997,171.36364876317376,0.1829960859982352,0.11543476272783644,3.903619863776354,0.20600329553078678,4.151402992448463,2.6187238749223307,88.55653439505096,4.67333873757825
13,0.014127894520504839,0.07653994914794354,0.14151288427921935,0.2180528334271629,43.2753634067798,47.76905029558491,0.005670628517987102,0.011486141594608774,0.23762453132493533,0.40990682514071947,4.493686889752988,47.76905029653279,0.14409801402546074,36.696992192306126,22.54553052849281,1013.1255495841388,52.879636956191504,63.303007807693874,91.21837706926922,23.218072794766773,0.00022790793906116952,0.0,0.009741742903226658,0.009741742903226658,0.013899986581443669,0.20831109052393623,193.58475647371174,0.1798926532350745,0.0982281374461858,4.009582769855285,0.20598332921644194,4.003230702283375,2.1859141470265024,89.22701710700824,4.583838043681868
14,0.012346416026300683,0.07857719910088315,0.14567030208432,0.22424750118520315,47.76905029558491,52.327035910891176,0.004786494169206242,0.009695283264435705,0.24118895161394183,0.40987145976676825,4.557985615664197,52.32703591124911,0.14283950549190927,37.04555635665976,22.58540469508258,1029.4394972414111,52.91568950657936,62.95444364334024,89.92381598532991,23.65939172115038,0.0001435820016085368,0.0,0.009703750105904074,0.009703750105904074,0.012202834024692147,0.21454375107929907,216.2594149841109,0.17768553062996412,0.08291292678523984,4.091421600577251,0.20596555767174285,3.89833460683424,1.8190695139602284,89.76381115632462,4.518784722880904
15,0.010686827075900142,0.08014452844679244,0.14907725404460978,0.22922178249140224,52.327035910891176,56.861822788611896,0.0,0.0,0.23990860956730237,0.40968,4.53478687772072,56.861822788611896,0.1432456755043358,36.93239167588052,22.57250750152387,1023.6151081516296,52.90405393602214,63.06760832411948,90.34162156831367,23.990860956730238,9.045666101337819e-05,0.0,0.009665905480491049,0.009665905480491049,0.010596370414886763,0.2195558770109112,239.27463972669068,0.17604406606828632,0.0,4.152873464918765,0.20586934673366833,3.882080256807346,0.0,91.57813976488544,4.5397799783072195
16,0.0067327010578170894,0.07927095308672241,0.1484958527538358,0.22776680584055822,56.861822788611896,61.29900766941946,0.0,0.0,0.23449950689837532,0.40968,4.437184880807565,61.29900766941946,0.14517752228100425,36.40282008154127,22.51153087323802,998.8782443456444,52.84871223479347,63.59717991845873,92.32881004621078,23.449950689837532,5.6987696438428264e-05,0.0,0.009628208449117133,0.009628208449117133,0.006675713361378661,0.2181385973914411,261.75607080197267,0.17475994488552077,0.0,4.056555589188375,0.20586934673366833,3.938531965197595,0.0,91.42182933901289,4.639638695789485
17,0.004241601666424766,0.07840689969807714,0.14791671892809585,0.226323618626173,61.29900766941946,65.66520217480699,0.0,0.0,0.23056522029259777,0.40968,4.3661945053875435,65.665202174807,0.14663689844842795,36.0120174247029,22.46585756097915,980.9030384156644,52.80690542029176,63.9879825752971,93.82999302813617,23.056522029259778,3.590224875620981e-05,0.0,0.009590658436165576,0.009590658436165576,0.004205699417668556,0.21673296019000743,283.84993676274024,0.17370192502565474,0.0,3.9866232336282206,0.20586934673366833,3.978336851721106,0.0,91.3065881217394,4.71507502653951
18,0.0026722090498476027,0.0775522644913681,0.14733984372427628,0.22489210821564437,65.66520217480699,69.9772483036679,0.0,0.0,0.22756431726549198,0.40968,4.312046128860914,69.9772483036679,0.14778235163124956,35.710686011607535,22.43023700870528,967.202166628204,52.7740915716053,64.28931398839246,95.00826005964426,22.7564317265492,2.2618416716412177e-05,0.0,0.00955325486826453,0.00955325486826453,0.0026495906331311905,0.21533885334737984,305.6487811607914,0.17278732019092283,0.0,3.9333894619363234,0.20586934673366833,4.0070842246895655,0.0,91.21863135020268,4.7742844251077505
19,0.0016834917014039896,0.07670694480841218,0.14676521833375158,0.22347216314216378,69.9772483036679,74.24583246172543,0.0,0.0,0.22515565484356778,0.40968,4.268584158057519,74.24583246172543,0.1487227688003365,35.466762637812025,22.401138905367564,956.2114665389798,52.74715139879731,64.53323736218798,95.97561740153918,22.515565484356777,1.4249602531339672e-05,0.0,0.009515997174278298,0.009515997174278298,0.00166924209887265,0.21395616596788547,327.21132196746714,0.17196403422608514,0.0,3.890750777097765,0.20586934673366833,4.028596552359879,0.0,91.1485081008291,4.822895346811018
