flight_line_id,basin_id,channel_id,date,time,utc_time,CoordX,CoordY,longitude,latitude,channel_dist,water_surface_elevation_WGS84,water_surface_elevation_NAVD88,water_surface_elevation_uncertainty,water_area
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,715790.00,3254230.00,-90.77619536,29.39882981,nan,-26.03,0.11,0.07,0.974
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,716860.00,3254130.00,-90.76519525,29.39774451,nan,-26.02,0.12,0.07,1.177
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,715050.00,3253190.00,-90.78402022,29.38957233,nan,-26.00,0.12,0.07,0.837
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,715950.00,3253230.00,-90.77474391,29.38978301,nan,-26.00,0.12,0.07,1.049
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,717070.00,3253300.00,-90.76319653,29.39021779,nan,-26.00,0.12,0.07,0.554
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,714770.00,3251980.00,-90.78713982,29.37871033,nan,-25.99,0.11,0.07,1.169
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,716020.00,3252030.00,-90.77425873,29.37894646,nan,-25.98,0.12,0.07,1.768
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,713970.00,3250790.00,-90.79560876,29.36811433,nan,-25.95,0.12,0.07,0.295
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,716680.00,3250920.00,-90.76768139,29.36882393,nan,-25.95,0.12,0.07,0.458
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,715160.00,3251030.00,-90.78330987,29.37007472,nan,-25.97,0.11,0.07,1.016
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,716280.00,3249430.00,-90.77209231,29.35545435,nan,-25.91,0.13,0.07,0.377
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,715170.00,3249600.00,-90.78348629,29.35717702,nan,-25.90,0.15,0.07,0.972
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,714670.00,3248400.00,-90.78886747,29.34644129,nan,-25.87,0.16,0.07,0.662
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,715770.00,3248530.00,-90.77751899,29.34742358,nan,-25.87,0.15,0.07,1.010
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,713730.00,3247310.00,-90.79875485,29.33677314,nan,-25.84,0.17,0.07,0.791
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,715140.00,3247340.00,-90.78423621,29.33680246,nan,-25.83,0.17,0.07,0.811
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,714660.00,3246310.00,-90.78937716,29.32759547,nan,-25.81,0.18,0.07,0.998
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,713760.00,3246850.00,-90.79853531,29.33261494,nan,-25.82,0.18,0.07,0.248
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,714750.00,3245260.00,-90.78865528,29.31810688,nan,-25.79,0.18,0.07,0.870
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,714290.00,3244190.00,-90.79359680,29.30853792,nan,-25.78,0.16,0.07,0.283
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,711760.00,3242120.00,-90.82002762,29.29029527,nan,-25.71,0.20,0.07,0.164
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,711890.00,3241260.00,-90.81885513,29.28251314,nan,-25.69,0.20,0.07,0.276
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,713410.00,3240690.00,-90.80332801,29.27711749,nan,-25.66,0.22,0.07,0.265
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,711060.00,3240470.00,-90.82754468,29.27553014,nan,-25.70,0.18,0.07,0.104
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,713090.00,3239480.00,-90.80685300,29.26625812,nan,-25.65,0.21,0.07,0.629
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,713140.00,3236300.00,-90.80695063,29.23757366,nan,-25.57,0.24,0.07,0.158
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,711060.00,3235940.00,-90.82840812,29.23467742,nan,-25.60,0.22,0.07,0.942
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,712050.00,3235730.00,-90.81826823,29.23261767,nan,-25.58,0.23,0.07,0.795
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,711010.00,3234730.00,-90.82915255,29.22377214,nan,-25.59,0.21,0.07,1.141
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,712080.00,3234710.00,-90.81815483,29.22341221,nan,-25.57,0.22,0.07,0.825
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,709890.00,3233890.00,-90.84082715,29.21638246,nan,-25.59,0.20,0.07,0.259
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,711110.00,3232390.00,-90.82856955,29.20265167,nan,-25.54,0.22,0.07,0.819
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,710230.00,3232650.00,-90.83756652,29.20513928,nan,-25.55,0.22,0.07,0.749
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,709880.00,3231350.00,-90.84141022,29.19347146,nan,-25.52,0.22,0.07,0.669
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,708990.00,3230870.00,-90.85064868,29.18929484,nan,-25.51,0.23,0.07,0.423
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,711280.00,3229960.00,-90.82728428,29.18070733,nan,-25.46,0.26,0.07,0.152
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,708830.00,3229530.00,-90.85254511,29.17723348,nan,-25.46,0.26,0.07,0.363
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,709830.00,3229590.00,-90.84225666,29.17760741,nan,-25.45,0.26,0.07,0.527
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,710890.00,3228600.00,-90.83155053,29.16850387,nan,-25.41,0.29,0.07,0.217
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,709530.00,3228360.00,-90.84557149,29.16656586,nan,-25.41,0.28,0.07,1.456
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,708390.00,3228040.00,-90.85734635,29.16386671,nan,-25.41,0.27,0.07,0.446
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,710760.00,3227560.00,-90.83308346,29.15914412,nan,-25.38,0.29,0.07,0.291
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,709770.00,3227220.00,-90.84332027,29.15624377,nan,-25.38,0.29,0.07,1.102
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,708350.00,3226440.00,-90.85805710,29.14944095,nan,-25.37,0.28,0.07,0.816
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,709610.00,3226070.00,-90.84518079,29.14589569,nan,-25.35,0.30,0.07,0.989
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,708630.00,3225030.00,-90.85544426,29.13667918,nan,-25.35,0.28,0.07,1.278
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,710030.00,3225120.00,-90.84104482,29.13726040,nan,-25.33,0.30,0.07,0.377
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,707910.00,3224100.00,-90.86301472,29.12840892,nan,-25.34,0.27,0.07,0.758
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,709680.00,3224110.00,-90.84483062,29.12820645,nan,-25.31,0.29,0.07,0.415
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,706910.00,3223340.00,-90.87342843,29.12171616,nan,-25.33,0.26,0.07,0.259
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,708970.00,3223210.00,-90.85229282,29.12020475,nan,-25.30,0.29,0.07,0.933
20210823160557,TERRE,N/A,2021-08-23,16:09:10,58150,708130.00,3222800.00,-90.86099762,29.11664678,nan,-25.31,0.27,0.07,0.936
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,719210.00,3247030.00,-90.74240691,29.33330186,nan,-25.96,0.02,0.07,0.333
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,719460.00,3245860.00,-90.74006655,29.32270703,nan,-25.77,0.18,0.07,0.367
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,720490.00,3244810.00,-90.72967676,29.31305765,nan,-25.74,0.19,0.07,0.391
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,720700.00,3244070.00,-90.72766373,29.30634620,nan,-25.71,0.21,0.07,0.119
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,722480.00,3240880.00,-90.70999102,29.27726691,nan,-25.63,0.22,0.07,0.206
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,722800.00,3239990.00,-90.70687866,29.26918456,nan,-25.62,0.21,0.07,0.134
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,723350.00,3239310.00,-90.70135892,29.26295535,nan,-25.62,0.20,0.07,0.119
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,724490.00,3240070.00,-90.68948026,29.26960504,nan,-25.63,0.20,0.07,0.109
20210823173152,TERRE,HOUMA,2021-08-23,17:34:29,63270,724780.00,3238890.00,-90.68673709,29.25891383,16116.74,-25.62,0.18,0.07,0.221
20210823173152,TERRE,HOUMA,2021-08-23,17:34:29,63270,724880.00,3238090.00,-90.68587101,29.25168240,16867.97,-25.62,0.17,0.07,0.137
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,726200.00,3235140.00,-90.67289908,29.22484112,nan,-25.51,0.22,0.07,0.317
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,725030.00,3234280.00,-90.68510202,29.21729717,nan,-25.51,0.22,0.07,0.406
20210823173152,TERRE,HOUMA,2021-08-23,17:34:29,63270,726880.00,3234470.00,-90.66604524,29.21867616,21034.35,-25.51,0.21,0.07,0.148
20210823173152,TERRE,HOUMA,2021-08-23,17:34:29,63270,727150.00,3233250.00,-90.66351931,29.20762999,22282.50,-25.51,0.19,0.07,0.465
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,725960.00,3233190.00,-90.67576358,29.20730054,nan,-25.51,0.20,0.07,0.395
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,728000.00,3232350.00,-90.65496711,29.19935938,nan,-25.51,0.17,0.07,0.317
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,726760.00,3232220.00,-90.66773862,29.19840836,nan,-25.50,0.18,0.07,0.185
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,727290.00,3231280.00,-90.66248339,29.18983724,nan,-25.49,0.17,0.07,0.166
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,728900.00,3231060.00,-90.64598267,29.18756127,nan,-25.49,0.15,0.07,0.102
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,727920.00,3230440.00,-90.65618108,29.18214882,nan,-25.48,0.16,0.07,0.107
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,728940.00,3230010.00,-90.64578790,29.17808515,nan,-25.47,0.15,0.07,0.117
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,727840.00,3229360.00,-90.65722467,29.17242127,nan,-25.45,0.16,0.07,0.358
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,728860.00,3229000.00,-90.64681782,29.16899582,nan,-25.46,0.14,0.07,0.411
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,728860.00,3228060.00,-90.64701117,29.16051646,nan,-25.45,0.13,0.07,0.514
20210823173152,TERRE,N/A,2021-08-23,17:34:29,63270,728880.00,3227070.00,-90.64700945,29.15158309,nan,-25.45,0.11,0.07,0.216
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,727750.00,3243660.00,-90.65521070,29.30139617,nan,-25.43,0.45,0.07,0.119
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,726600.00,3242890.00,-90.66720030,29.29465951,nan,-25.43,0.44,0.07,0.191
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,726880.00,3241850.00,-90.66453312,29.28523227,nan,-25.42,0.43,0.07,0.257
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,717290.00,3241580.00,-90.76324053,29.28448471,nan,-25.58,0.31,0.07,0.329
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,722480.00,3240880.00,-90.70999102,29.27726691,nan,-25.52,0.33,0.07,0.259
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,721260.00,3240990.00,-90.72251842,29.27847450,nan,-25.49,0.36,0.07,0.110
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,718330.00,3241040.00,-90.75264827,29.27943549,nan,-25.54,0.33,0.07,0.337
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,716260.00,3240490.00,-90.77404969,29.27483030,nan,-25.58,0.29,0.07,0.400
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,724070.00,3241200.00,-90.69357103,29.27986890,nan,-25.49,0.36,0.07,0.102
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,719590.00,3240320.00,-90.73982996,29.27272290,nan,-25.48,0.38,0.07,0.397
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,711060.00,3240470.00,-90.82754468,29.27553014,nan,-25.62,0.27,0.07,0.156
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,710040.00,3239940.00,-90.83813800,29.27091924,nan,-25.61,0.27,0.07,0.444
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,717060.00,3240150.00,-90.76588723,29.27162507,nan,-25.58,0.28,0.07,0.395
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,705990.00,3238710.00,-90.88002798,29.26049890,nan,-25.66,0.21,0.07,0.295
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,713090.00,3239480.00,-90.80685300,29.26625812,nan,-25.60,0.26,0.07,0.149
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,704270.00,3238870.00,-90.89769034,29.26221863,nan,-25.67,0.19,0.07,0.575
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,708840.00,3239360.00,-90.85059135,29.26588678,nan,-25.61,0.27,0.07,0.622
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,710770.00,3239080.00,-90.83079248,29.26304397,nan,-25.62,0.24,0.07,0.596
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,714380.00,3238990.00,-90.79367911,29.26162720,nan,-25.59,0.26,0.07,0.186
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,707750.00,3238560.00,-90.86195331,29.25885903,nan,-25.62,0.24,0.07,0.977
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,700720.00,3238320.00,-90.93430609,29.25782928,nan,-25.66,0.20,0.07,0.181
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,702850.00,3238290.00,-90.91240279,29.25721920,nan,-25.67,0.19,0.07,0.739
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,706750.00,3238090.00,-90.87232664,29.25478117,nan,-25.65,0.20,0.07,0.994
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,703790.00,3238180.00,-90.90275450,29.25607467,nan,-25.68,0.18,0.07,0.944
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,704910.00,3237760.00,-90.89131258,29.25210520,nan,-25.69,0.16,0.07,1.097
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,705750.00,3237360.00,-90.88274754,29.24835790,nan,-25.69,0.15,0.07,0.844
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,699660.00,3237050.00,-90.94543812,29.24654028,nan,-25.67,0.18,0.07,0.181
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,701850.00,3237510.00,-90.92283071,29.25034219,nan,-25.67,0.18,0.07,0.153
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,708000.00,3237370.00,-90.85960552,29.24808147,nan,-25.64,0.20,0.07,0.412
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,702890.00,3237200.00,-90.91219105,29.24738041,nan,-25.69,0.16,0.07,0.364
20210823174148,TERRE,N/A,2021-08-23,17:44:45,63885,703960.00,3237160.00,-90.90119394,29.24684631,nan,-25.70,0.14,0.07,0.692
