Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cc),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
10,0.0018036996352645627,0.00267017849488494,0.013249948526397421,0.01592012702128236,3.863719041396197,4.135130140841202,0.0012767296187398507,0.0007410521726051715,0.018962254386724577,0.0961683018885622,0.27141112556967006,4.135130166965867,0.4241924719689988,16.47021868059444,26.871322477501632,72.93175879164299,69.86542775991337,83.52978131940556,354.32704420908544,1.7723826656546922,0.0010270150068134155,0.0,0.00847795544727077,0.00847795544727077,0.0007766846284511472,0.007442171574011591,5.785536846256205,0.1118231818127551,0.01456973800209006,0.09669242591132632,0.04832577984349859,41.200662492389455,5.368143244500149,35.62581515712619,17.805379105984205
11,0.001459457878388048,0.002826336592441987,0.013516926161364694,0.01634326275380668,4.135130140841202,4.407377774609096,0.0012687106635804425,0.0007363977304619962,0.019033369975867756,0.0961680613199074,0.27224765867081857,4.4073777995120205,0.42314939220494135,16.521817274127717,26.90249782959759,73.24142046504718,69.91196937668244,83.47818272587229,353.23742282825896,1.7802720632194728,0.0007086403547012567,0.0,0.008444891421026413,0.008444891421026413,0.0007508175236867913,0.007898371332780268,6.650455731902912,0.10768860912620787,0.014478227572623872,0.10175516301725951,0.04832565895472734,39.555384847741465,5.318035660365351,37.37595522916662,17.75062426272657
12,0.0012205812779217322,0.002979628956199868,0.013780861173434031,0.0167604901296339,4.407377774609096,4.681696884271794,0.0012663679625705272,0.0007350379565148111,0.019209448331249046,0.0961679910388771,0.2743191334170272,4.681696908026123,0.4205956687488015,16.649224004379153,26.978893970774806,74.00826814612799,70.0259150427045,83.35077599562085,350.56975370609706,1.7981071407555633,0.0004889618447438671,0.0,0.00841195634448441,0.00841195634448441,0.0007316194331778651,0.00834853378514949,7.558471053735646,0.10471668457915619,0.014451493219922487,0.10682533198032182,0.048325623637626686,38.17330686152436,5.268131697526525,38.94199090295431,17.616570537994807
13,0.0010553620891552904,0.0031309104897059925,0.014043182136159007,0.017174092625865,4.681696884271794,4.958954672420771,0.0012678137547838934,0.0007358771376892152,0.019459234057160667,0.09616803441264352,0.27725781081184997,4.958954695083644,0.4170388135549045,16.829277656284344,27.08547023249781,75.09658181471877,70.18461986762887,83.17072234371565,346.8541936872756,1.8229454715020292,0.0003373836728732683,0.0,0.00837914971474092,0.00837914971474092,0.0007179784162820221,0.00879494291112408,8.509763186476258,0.10254745161899044,0.014467992260475019,0.11191672149889532,0.0483256454334892,36.98631656894247,5.218245148120696,40.36557930367674,17.429858979260096
14,0.0009416042114470228,0.003280752849790501,0.01430484089503435,0.01758559374482485,4.958954672420771,5.239760126968455,0.0012717346718382277,0.0007381529555750625,0.019760780587954954,0.09616815204015514,0.28080547616579093,5.239760148586562,0.41284427287900943,17.04559866116064,27.21141581295784,76.41114574502967,70.37177785054281,82.95440133883936,342.47249502846665,1.8527197956271872,0.00023279473428255512,0.0,0.00834647103085343,0.00834647103085343,0.0007088094771644677,0.00923912271397142,9.504556405589847,0.10093253841336453,0.014512736843330362,0.11703449636630456,0.048325704542791524,35.943935207934736,5.168252785341647,41.678138889715235,17.20967311700839
15,0.0008637712630152139,0.00342953088262155,0.014566457786440992,0.017995988669062542,5.239760126968455,5.524540707535792,0.001277215730585195,0.0007413343265035647,0.020098659190745393,0.09616831647191755,0.2847806011805872,5.524540728149042,0.4082685940708957,17.28664487589292,27.349138550200923,77.88504118097401,70.57594199683658,82.71335512410708,337.69265207405914,1.8859759932077755,0.00016062836665496302,0.0,0.008313919793833101,0.008313919793833101,0.0007031428963602509,0.009682068875229441,10.543077582748815,0.09970056659397722,0.014575285396089871,0.12217896201870225,0.04832578717181787,35.00960605485707,5.118075225512739,42.90283871590861,16.96948000372159
16,0.0008109891261665313,0.0035774825776268664,0.014828422361470405,0.018405904939097273,5.524540707535792,5.813596030774105,0.0012836185211765438,0.0007450506982465013,0.020462004030805052,0.09616850855563529,0.2890553428822409,5.813596050418033,0.4034885203071811,17.544297437293437,27.49339699396546,79.47113295088263,70.78922612802599,82.45570256270656,332.69929417915506,1.9216894065263803,0.00011083357299192448,0.0,0.008281495506637152,0.008281495506637152,0.0007001555531746069,0.01012440943246012,11.625534081312288,0.09873328328975384,0.014648352535779383,0.12734782336040856,0.048325883696299136,34.15722480866824,5.067663648669182,44.05655404622262,16.718557496439967
17,0.0007756471995463921,0.003724750692092359,0.015090963314506666,0.018815714006599024,5.813596030774105,6.107135447704034,0.0012904967989324067,0.0007490430570043368,0.020843143101109848,0.09616871490396797,0.29353943563727974,6.107135466411385,0.3986239796061566,17.81284688275383,27.64062141840397,81.13612411822017,71.00627912518453,82.18715311724617,327.6177004809721,1.9591361206145415,7.64751653644279e-05,0.0,0.008249197674161267,0.008249197674161267,0.0006991720341819642,0.010566516332437758,12.752102917974263,0.09794909222971405,0.014726845823110991,0.13253751019552612,0.048325987388928626,33.3682907092414,5.016990576117559,45.151517685446464,16.46320102919459
18,0.0007524190542182682,0.0038714116737996363,0.015354197072091956,0.019225608745891593,6.107135447704034,6.405304342396473,0.001297537949749485,0.0007531299521730936,0.02123663961136686,0.09616892613849248,0.2981689124941881,6.4053043601982225,0.39375522004544244,18.08827330776889,27.788410085191334,82.85640015044031,71.22352036542642,81.91172669223111,322.531699680016,1.9978027800109863,5.276786410145525e-05,0.0,0.008217025803232038,0.008217025803232038,0.0006996511901168129,0.011008582942659556,13.922926331251897,0.09729169020392345,0.014807197779494123,0.13774393097383963,0.048326093536930896,32.62972299495503,4.966043460276143,46.19661044527053,16.2076230994983
19,0.0007375768335408022,0.004017495774598493,0.015618161582945227,0.01963565735754372,6.405304342396473,6.708202534888894,0.00130452238035568,0.0007571839252298473,0.021638620900029534,0.09616913567141067,0.30289820941843737,6.70820255181491,0.38893513698093635,18.367738703951623,27.93516752111251,84.6151222194906,71.43858968851471,81.63226129604837,317.4965472924216,2.037323419108452,3.640982623000412e-05,0.0,0.008184979402599433,0.008184979402599433,0.0007011670073107981,0.011450677954944288,15.138110827477405,0.09672222622152278,0.014886902458176582,0.14296288190888337,0.04832619882985461,31.932254207520355,4.914820225170476,47.19832520085582,15.954600366453338
